status,error,pair_id,site,stack,block,direction,window_start,window_end,alpha,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,12,50,1.0,12.132415771484375,3.917818307876587,21.122295379638672,1766.7928466796875,1128.289794921875,2099.648681640625,104.48979591836735,505.0340136054422,87.07482993197279,-15.229533020919723,-30.85247434664129,-11.125283313310186,0.2926730903499161,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,25,50,1.0,5.3385419845581055,3.917818307876587,21.122295379638672,1433.7340087890625,1128.289794921875,2099.648681640625,156.73469387755102,505.0340136054422,87.07482993197279,-19.985229454437064,-30.85247434664129,-11.125283313310186,0.31172097776505586,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,38,50,1.0,3.3543574810028076,3.917818307876587,21.122295379638672,1238.12744140625,1128.289794921875,2099.648681640625,342.49433106575964,505.0340136054422,87.07482993197279,-24.882061748056778,-30.85247434664129,-11.125283313310186,0.30631794200851564,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,12,1.0,7.232022285461426,21.122295379638672,3.917818307876587,1110.761474609375,2099.648681640625,1128.289794921875,557.2789115646258,87.07482993197279,505.0340136054422,-30.794722748592974,-11.125283313310186,-30.85247434664129,0.04866831641435892,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,25,1.0,4.624051570892334,21.122295379638672,3.917818307876587,1034.246337890625,2099.648681640625,1128.289794921875,423.7641723356009,87.07482993197279,505.0340136054422,-31.961545252285887,-11.125283313310186,-30.85247434664129,0.3684177694218722,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,38,1.0,4.709709167480469,21.122295379638672,3.917818307876587,1057.6759033203125,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-29.780496285791635,-11.125283313310186,-30.85247434664129,0.43723642541452196,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,0,50,1.0,4.41402530670166,21.122295379638672,3.917818307876587,1072.6090087890625,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-29.64071012884112,-11.125283313310186,-30.85247434664129,0.44419514969923724,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,12,50,1.0,5.627236366271973,21.122295379638672,3.917818307876587,1221.6240234375,2099.648681640625,1128.289794921875,168.34467120181407,87.07482993197279,505.0340136054422,-25.082113566227143,-11.125283313310186,-30.85247434664129,0.43784339836307207,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,25,50,1.0,6.249289035797119,21.122295379638672,3.917818307876587,1375.2193603515625,2099.648681640625,1128.289794921875,133.51473922902494,87.07482993197279,505.0340136054422,-20.366786637718846,-11.125283313310186,-30.85247434664129,0.5131748926239517,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,38,50,1.0,10.256304740905762,21.122295379638672,3.917818307876587,1647.2396240234375,2099.648681640625,1128.289794921875,127.70975056689343,87.07482993197279,505.0340136054422,-14.840429745436289,-11.125283313310186,-30.85247434664129,0.0433875023752851,0.3084411031278086,0.4642366864855378
